name,filename,description,short
Bean,vgdb_01.jpg,A delicious and nutritious legume commonly used in various cuisines,Tommy's trusty companion the Bean Buddy
Bitter_Gourd,vgdb_02.jpg,A unique vegetable known for its bitter taste and numerous health benefits,Tommy's resilient friend the Bitter Buddy
Bottle_Gourd,vgdb_03.jpg,A versatile vegetable often used in stews and curries,Tommy's magical sidekick the Soup Sorcerer
Brinjal,vgdb_04.jpg,Also known as eggplant it's a popular ingredient in Mediterranean and Asian dishes,Tommy's eggcellent pal the Eggcellent Pal
Broccoli,vgdb_05.jpg,A nutrient-rich vegetable that is high in fiber and vitamins,Tommy's green guardian the Broc Bro
Cabbage,vgdb_06.jpg,A leafy green vegetable often used in slaws and stir-fries,Tommy's leafy comrade the Cabbage Comrade
Capsicum,vgdb_07.jpg,Also known as bell pepper it comes in various colors and adds flavor to dishes,Tommy's colorful buddy the Pepper Pal
Carrot,vgdb_08.jpg,A crunchy and sweet root vegetable that is packed with beta-carotene,Tommy's crunchy companion the Carrot Companion
Cauliflower,vgdb_09.jpg,A versatile vegetable that can be mashed or used in salads and soups,Tommy's versatile crewmate the Cauli Crewmate
Cucumber,vgdb_10.jpg,A refreshing and hydrating vegetable commonly used in salads and sandwiches,Tommy's cool comrade the Cool Cucumber
Papaya,vgdb_11.jpg,A tropical fruit known for its sweet flavor and digestive enzymes,Tommy's tropical pal the Papaya Pal
Potato,vgdb_12.jpg,A starchy tuber vegetable that is a staple in many cuisines around the world,Tommy's starchy sidekick the Potato Pal
Pumpkin,vgdb_13.jpg,A festive vegetable often used in soups and other autumn dishes,Tommy's festive friend the Pumpkin Pal
Radish,vgdb_14.jpg,A crunchy root vegetable with a peppery flavor often used in salads and pickles,Tommy's peppery partner the Radish Ranger
Tomato,vgdb_15.jpg,A versatile fruit that is used as a vegetable in cooking known for its juicy texture and rich flavor,Tommy's kingly comrade the Tomato King
