Title,Description,Issue ID,URL,State,Author,Author Username,Assignee,Assignee Username,Confidential,Locked,Due Date,Created At (UTC),Updated At (UTC),Closed At (UTC),Milestone,Weight,Labels,Time Estimate,Time Spent
Visualise DL Model Info in Notebook,Write scripts to print/visualise important information about the deep learning model you will use such as the number of parameters. Keep it at the end of the CNN notebook,1,https://gitlab.com/4618-devops/ca2-daaa2b01-2214618-jeyakumarsriram/-/issues/1,Open,Moustache Man,justforthegreatergood,Moustache Man,justforthegreatergood,No,No,,2024-01-12 09:29:30,2024-01-13 03:47:31,,DL Model Development,,Current Sprint,0,0
Serialize and Export CNN Transformer,"Transformer model used as final model in CA1 has custom layers that need to be exported along with it. If not, model will not load.",2,https://gitlab.com/4618-devops/ca2-daaa2b01-2214618-jeyakumarsriram/-/issues/2,Open,Moustache Man,justforthegreatergood,Moustache Man,justforthegreatergood,No,No,,2024-01-12 09:33:00,2024-01-13 03:47:31,,DL Model Development,,Current Sprint,0,0
Setup Files to Record Steps Taken,"Use markdown files and an images folder to document your process. This includes using screenshots, storing commands and just explaining the rationale. This is to make it easier to make slides later.",3,https://gitlab.com/4618-devops/ca2-daaa2b01-2214618-jeyakumarsriram/-/issues/3,Open,Moustache Man,justforthegreatergood,Moustache Man,justforthegreatergood,No,No,,2024-01-12 09:34:31,2024-01-13 03:47:33,,DL Model Development,,To Do,0,0
Setup Tensorflow Serving for Saved model,Follow online guides and Practical 7 to create a TF Serving Container locally that serves your DL model.,4,https://gitlab.com/4618-devops/ca2-daaa2b01-2214618-jeyakumarsriram/-/issues/4,Open,Moustache Man,justforthegreatergood,Moustache Man,justforthegreatergood,No,No,,2024-01-12 09:38:37,2024-01-13 03:47:35,,DL Model Development,,Current Sprint,0,0
Setup PyTest for DL model,Use local URL to test the DL APIs. Use some test images for this process.,5,https://gitlab.com/4618-devops/ca2-daaa2b01-2214618-jeyakumarsriram/-/issues/5,Open,Moustache Man,justforthegreatergood,Moustache Man,justforthegreatergood,No,No,,2024-01-12 09:40:07,2024-01-13 03:47:34,,DL Model Development,,Current Sprint,0,0
Deploy Model to Render,"As per the assignment brief, deploy two DL models to be used. Web App should be able to switch between models if needed.",6,https://gitlab.com/4618-devops/ca2-daaa2b01-2214618-jeyakumarsriram/-/issues/6,Open,Moustache Man,justforthegreatergood,Moustache Man,justforthegreatergood,No,No,,2024-01-12 09:44:42,2024-01-13 03:47:37,,DL Model Development,,Current Sprint,0,0
Update PyTest,"Now that you have deployed both models to Render, update the URL in PyTest as well as test BOTH models.",7,https://gitlab.com/4618-devops/ca2-daaa2b01-2214618-jeyakumarsriram/-/issues/7,Open,Moustache Man,justforthegreatergood,Moustache Man,justforthegreatergood,No,No,,2024-01-12 09:46:07,2024-01-13 03:47:39,,DL Model Development,,Current Sprint,0,0
Setup CICD Pipeline and maybe Deploy Hook,Use the PyTest inside a CICD pipeline in Gitlab to test the DL Models on Render. Research more about Deploy hooks so you can wait for the tests to run before deploying the model if successful.,8,https://gitlab.com/4618-devops/ca2-daaa2b01-2214618-jeyakumarsriram/-/issues/8,Open,Moustache Man,justforthegreatergood,Moustache Man,justforthegreatergood,No,No,,2024-01-12 09:47:46,2024-01-13 03:47:40,,DL Model Development,,Current Sprint,0,0
Slides to Explain Part A,"Even though not mentioned in the brief, using the information you have documented, prepare a set of 5 page slides to briefly explain the DL model deployment process.",9,https://gitlab.com/4618-devops/ca2-daaa2b01-2214618-jeyakumarsriram/-/issues/9,Open,Moustache Man,justforthegreatergood,Moustache Man,justforthegreatergood,No,No,,2024-01-12 09:49:11,2024-01-13 03:47:43,,DL Model Development,,Current Sprint,0,0
Wireframe for Home Page,Purpose of home page to link user to login/signup or predict as a guest. Has Nav Bar. Must be vegetable themed.,10,https://gitlab.com/4618-devops/ca2-daaa2b01-2214618-jeyakumarsriram/-/issues/10,Open,Moustache Man,justforthegreatergood,Moustache Man,justforthegreatergood,No,No,,2024-01-13 01:03:36,2024-01-13 03:13:45,,Wireframe Design,,,0,0
